2022-03-31,EXPENDITURE,1000,NHIF,34364
2022-03-31,EXPENDITURE,500,RETREAT,33864
2022-03-31,EXPENDITURE,20,SUPPER,33844
2022-03-31,EXPENDITURE,527,WITHDRAWN,33317
2022-04-01,EXPENDITURE,55,BREAKFAST,33262
2022-04-02,EXPENDITURE,170,SUPPER,33092
2022-04-02,EXPENDITURE,125,BREAKFAST,32967
2022-04-03,EXPENDITURE,20,CREDIT,32947
2022-04-03,EXPENDITURE,90,LUNCH,32857
2022-04-03,EXPENDITURE,30,LUNCH,32827
2022-04-03,EXPENDITURE,1000,INVESTMENT,31827
2022-04-03,EXPENDITURE,10,CREDIT,31817
2022-04-03,EXPENDITURE,200,INVESTMENT,31617
2022-04-03,EXPENDITURE,130,SUPPER,31487
2022-04-04,EXPENDITURE,120,SUPPER,31367
2022-04-05,EXPENDITURE,200,CSR,31167
2022-04-05,EXPENDITURE,85,SUPPER,31082
2022-04-06,EXPENDITURE,1230,RETREAT,29852
2022-04-06,EXPENDITURE,65,CSR,29787
2022-04-06,EXPENDITURE,1022,INVESTMENT,28765
2022-04-07,EXPENDITURE,51,CREDIT,28714
2022-04-07,EXPENDITURE,120,LUNCH,28594
2022-04-07,EXPENDITURE,240,SUPPER,28354
2022-04-08,EXPENDITURE,20,CREDIT,28334
2022-04-09,EXPENDITURE,70,LUNCH,28264
2022-04-09,EXPENDITURE,360,SUPPER,27904
2022-04-10,EXPENDITURE,80,LUNCH,27824
2022-04-10,EXPENDITURE,90,SUPPER,27734
2022-04-11,EXPENDITURE,90,LUNCH,27644
2022-04-12,EXPENDITURE,115,BREAKFAST,27529
2022-04-12,EXPENDITURE,40,LUNCH,27489
2022-04-12,EXPENDITURE,51,CREDIT,27438
2022-04-12,EXPENDITURE,230,SUPPER,27208
2022-04-12,EXPENDITURE,55,BREAKFAST,27153
2022-04-13,EXPENDITURE,60,LUNCH,27093
2022-04-13,EXPENDITURE,150,SUPPER,26943
2022-04-13,EXPENDITURE,45,SUPPER,26898
2022-04-15,EXPENDITURE,70,LUNCH,26828
2022-04-15,EXPENDITURE,310,SUPPER,26518
